Year of Case,Employer Name,Address,Street,City,State,Zip Code,Wages Owed,Number of Claimants on Case,USDOL?
2020,ABI,"131-07 40th Road, Flushing, NY, 11354",131-07 40th Road,Flushing,NY,11354,"$682,581.00",,NO
2022,Royal Care,"6323 14th Ave., Brooklyn, NY, 11219",6323 14th Ave.,Brooklyn,NY,11219,"$5,851,021.00",108,NO
2022,American Business Institute,"131-07 40th Rd, Flushing, NY, 11354",131-07 40th Rd,Flushing,NY,11354,"$6,270,141.00",,NO
2020,Ultimate Services For You Inc,"1506 Sheepshead Bay Road, Brooklyn, NY, 11235",1506 Sheepshead Bay Road,Brooklyn,NY,11235,"$2,223,856.00",265,NO
2022,Renaissance Home Health Care Services,"267 Douglass Street, Brooklyn, NY, 11217",267 Douglass Street,Brooklyn,NY,11217,"$1,781,707.00",14,NO
2020,American Chore Services Inc dba City Choice Home ..,"2719 Coney Island Avenue, Brooklyn, NY, 11235",2719 Coney Island Avenue,Brooklyn,NY,11235,"$1,259,622.00",,NO
2021,Longevity Health Services LLC,"142-29 37th Avenue, Flushing, NY, 11354",142-29 37th Avenue,Flushing,NY,11354,"$1,128,629.00",11,NO
2022,Allstar Home Care Agency Inc,"762 59th Street, Brooklyn, NY, 11219",762 59th Street,Brooklyn,NY,11219,"$810,545.00",18,NO
2021,Nocello Ristorante Italiano,"14-27 150th Street, Whitestone, NY, 11357",14-27 150th Street,Whitestone,NY,11357,"$715,017.00",,NO
2022,ABI/American Business Institute Corp,"131-07 40th Road, Flushing, NY, 11354",131-07 40th Road,Flushing,NY,11354,"$3,065,583.00",,YES
2022,Nursing Personnel Homecare,"175 S 9th Street, Brooklyn, NY, 11211",175 S 9th Street,Brooklyn,NY,11211,"$678,770.00",9,NO
2022,Healthy Care N.Y. Inc,"401 Broadway, New York, NY, 10013",401 Broadway,New York,NY,10013,"$636,233.00",10,NO
2022,"JS Homecare Agency of NY, Inc","4316-4318 8th Ave, Brooklyn, NY, 11232",4316-4318 8th Ave,Brooklyn,NY,11232,"$607,340.00",19,NO
2022,Pane Antico Bakery Cafe,"9124 3rd Avenue, Brooklyn, NY, 11209",9124 3rd Avenue,Brooklyn,NY,11209,"$576,241.00",,NO
2022,Scharome Cares,"1729 12th Street, Brooklyn, NY, 11229",1729 12th Street,Brooklyn,NY,11229,"$572,289.00",37,NO
2020,Bigwell Bakery,"107-08 Liberty Avenue, Richmond Hill, NY, 11417",107-08 Liberty Avenue,Richmond Hill,NY,11417,"$558,345.00",,NO
2023,Don Alex Restaurante Pollos a la Brasa,"95-44 Roosevelt Avenue, Elmhurts, NY, 11373",95-44 Roosevelt Avenue,Elmhurst,NY,11373,"$554,065.00",,NO
2022,X-Treme Care LLC,"212-12 Northern Boulevard, Bayside, NY, 11361",212-12 Northern Boulevard,Bayside,NY,11361,"$522,558.00",13,NO
2020,Jerome Beverage Inc,"2100 Jerome Avenue, Bronx, NY, 10453",2100 Jerome Avenue,Bronx,NY,10453,"$499,351.00",8,NO
2024,Crown Heights Center for Nursing 2 of 2_K-Y,"810 St. Marks Avenue, Brooklyn, NY, 11213",810 St. Marks Avenue,Brooklyn,NY,11213,"$467,848.00",,NO
2022,La Union Shipping Corp,"1120 E. 179th St., Bronx, NY, 10456",1120 E. 179th St.,Bronx,NY,10456,"$444,370.00",,NO
2024,Tra Di Noi Rest Inc T/A Da Noi,"4358 Victory Boulevard, Staten Island, NY, 10314",4358 Victory Boulevard,Staten Island,NY,10314,"$440,729.00",,NO
2022,Petlyn Job,"4722 Beverly Road, Brooklyn, NY, 11203",4722 Beverly Road,Brooklyn,NY,11203,"$439,473.00",1,NO
2020,Renaissance Home Health Care Services,"1959 Westchester Avenue, Bronx, NY, 10462",1959 Westchester Avenue,Bronx,NY,10462,"$420,641.00",,NO
2024,Professional Grade Construction Group Inc,"63 Stonegate Drive, Staten Island, NY, 10304",63 Stonegate Drive,Staten Island,NY,10304,"$419,204.00",,NO
2022,American Business Institute Corp.,"131-07 40th Road, Flushing, NY, 11354",131-07 40th Road,Flushing,NY,11354,"$394,038.00",,NO
2021,Cool N 'Heat,"50 Wallabout Street, Brooklyn, NY, 11249",50 Wallabout Street,Brooklyn,NY,11249,"$390,543.00",,NO
2022,Regency Health Care Inc,"728 5th Ave, Brooklyn, NY, 11232",728 5th Ave,Brooklyn,NY,11232,"$388,843.00",4,NO
2022,Greatcare Inc,"110 W 34th St, New York, NY, 10001",110 W 34th St,New York,NY,10001,"$366,696.00",20,NO
2022,House Calls Home Care,"2440 Fulton St, Brooklyn, NY, 11233",2440 Fulton St,Brooklyn,NY,11233,"$362,160.00",7,NO
2022,Queens Home Care Agency,"2 E Broadway, New York, NY, 10038",2 E Broadway,New York,NY,10038,"$356,708.00",8,NO
2023,FADMO HHC,"194 Targee St, Staten Island, NY, 10304",194 Targee St,Staten Island,NY,10304,"$353,491.00",22,NO
2020,Caring Home Care,"105-05 Cross Bay Blvd, Ozone Park, NY, 11417",105-05 Cross Bay Blvd,Ozone Park,NY,11417,"$348,185.00",1,NO
2024,Paloma Mexican Cuisine Luisa Cucina Mexicana,"435 Menahan Street, Brooklyn, NY, 11237",435 Menahan Street,Brooklyn,NY,11237,"$336,292.00",,NO
2023,Build Your Life Supermarket Inc.,"8612 4th Ave, Brooklyn, NY, 11209",8612 4th Ave,Brooklyn,NY,11209,"$330,357.00",3,NO
2020,Repairs on Wheels,"833 McDonald Avenue, Brooklyn, NY, 11218",833 McDonald Avenue,Brooklyn,NY,11218,"$326,063.00",41,NO
2020,Tastee Pattee,"987 Flatbush Ave, Brooklyn, NY, 11226",987 Flatbush Ave,Brooklyn,NY,11226,"$316,227.00",,NO
2022,Mr Pierogi LLC,"126 12th Street, Brooklyn, NY, 11215",126 12th Street,Brooklyn,NY,11215,"$296,525.00",,NO
2023,Met Supermarket,"3404 Quentin Road, Brooklyn, NY, 11234",3404 Quentin Road,Brooklyn,NY,11234,"$282,574.00",,NO
2023,Chestnut,"700 Myrtle Avenue, Brooklyn, NY, 11205",700 Myrtle Avenue,Brooklyn,NY,11205,"$280,455.00",132,NO
2022,Longevity Health Services LLC,"142-39 37th Avenue, Flushing, NY, 11354",142-39 37th Avenue,Flushing,NY,11354,"$279,131.00",11,NO
2021,1st Choice Home Care Service Inc,"8501 New Utrecht Ave, Brooklyn, NY, 11201",8501 New Utrecht Ave,Brooklyn,NY,11201,"$278,558.00",20,YES
2020,Molcajete Mexican Restaurant,"9213 Roosevelt Avenue, Jackson Heights, NY, 11372",9213 Roosevelt Avenue,Jackson Heights,NY,11372,"$273,768.00",,NO
2023,Smile Home Care,"86 Brighton 1st Place, Brooklyn, NY, 11235",86 Brighton 1st Place,Brooklyn,NY,11235,"$267,958.00",3,NO
2022,Elara Caring,"70-00 Austin Street, Forest Hills, NY, 11375",70-00 Austin Street,Forest Hills,NY,11375,"$261,975.00",3,NO
2023,Guadalajara del Dia II,"566 Seneca Ave, Ridgewood, NY, 11385",566 Seneca Ave,Ridgewood,NY,11385,"$254,448.00",2,YES
2021,Jamaica Beverage Center,"203-07 Linden Blvd., Jamaica, NY, 11412",203-07 Linden Blvd.,Jamaica,NY,11412,"$253,979.00",,NO
2021,Queens Home Care Agency,"2 East Broadway, New York, NY, 10038",2 East Broadway,New York,NY,10038,"$253,031.00",,NO
2022,Platinum Home Health Care Inc,"170 53rd St, Brooklyn, NY, 11232",170 53rd St,Brooklyn,NY,11232,"$252,120.00",4,NO
2024,The New Tropical Deli 2 Inc DBA Tropical 2,"3610 Greenpoint Ave, Long Island City, NY, 11101",3610 Greenpoint Ave,Long Island City,NY,11101,"$251,622.00",,NO
2020,Volare Restaurant Corp.,"147 West 4th Street, New York, NY, 10012",147 West 4th Street,New York,NY,10012,"$241,373.00",3,NO
2023,Ramon Ynoa,"981 Teller Ave, Bronx, NY, 10456",981 Teller Ave,Bronx,NY,10456,"$224,910.00",,NO
2020,Advance Food,"5580 56th street, Maspeth, NY, 11378",5580 56th street,Maspeth,NY,11378,"$222,901.00",,NO
2023,La Boina Roja Steak House Inc,"8022 37th Ave, Jackson Heights, NY, 11372",8022 37th Ave,Jackson Heights,NY,11372,"$221,130.00",1,NO
2022,Winstar Service Inc,"57-11 49th Place, Maspeth, NY, 11378",57-11 49th Place,Maspeth,NY,11378,"$220,753.00",,NO
2021,Dax Renovations,"1150 Grand Concourse, Bronx, NY, 10456",1150 Grand Concourse,Bronx,NY,10456,"$220,000.00",3,NO
2021,King Meats Market,"605 Brighton Beach Avenue, Brooklyn, NY, 11235",605 Brighton Beach Avenue,Brooklyn,NY,11235,"$210,723.00",,NO
2023,Lenos Bar Cafe,"80-15 Northern Blvd, Jackson Heights, NY, 11372",80-15 Northern Blvd,Jackson Heights,NY,11372,"$208,901.00",1,NO
2023,The 99 Cents & Dollar Deals Inc,"270 E. Burnside Avenue, Bronx, NY, 10457",270 E. Burnside Avenue,Bronx,NY,10457,"$207,390.00",1,NO
2020,Best Seller Inc.,"195 Bay 19th Street, Brooklyn, NY, 11214",195 Bay 19th Street,Brooklyn,NY,11214,"$206,194.00",,NO
2020,Steel Boyz Inc,"1437 44th Street, Brooklyn, NY, 11219",1437 44th Street,Brooklyn,NY,11219,"$205,498.00",,NO
2020,Don Alex Restaurant,"9705 64th Avenue, Rego Park, NY, 11374",9705 64th Avenue,Rego Park,NY,11374,"$203,935.00",,NO
2024,Desi Stop Deli,"75 2nd Avenue, New York, NY, 10003",75 2nd Avenue,New York,NY,10003,"$203,308.00",,NO
2020,"Prograde Construction, Inc.","2448 89th Street, East Elmhurst, NY, 11369 Lexington Avenue, New York, NY, 10017",2448 89th Street,East Elmhurst,NY,11369,"$202,949.00",,NO
2021,JS Homecare,"4318 8th Avenue, Brooklyn, NY, 11232",4318 8th Avenue,Brooklyn,NY,11232,"$202,942.00",,NO
2020,La Imagen del Rodeo,"88 Canal Street, Staten Island, NY, 10304",88 Canal Street,Staten Island,NY,10304,"$202,441.00",2,NO
2021,Brooklyn Harvest Market,"8102 3rd Ave, Brooklyn, NY, 11209",8102 3rd Ave,Brooklyn,NY,11209,"$201,292.00",79,NO
2023,Sushi Hana NY Inc,"111 Rivington Street, New York, NY, 10002",111 Rivington Street,New York,NY,10002,"$198,610.00",2,NO
2020,Sandra O'Sullivan,"36 Crooke Ave, Brooklyn, NY, 11226",36 Crooke Ave,Brooklyn,NY,11226,"$196,493.00",2,NO
2022,Reliance Home Health Care Inc,"4410 4th Ave, Brooklyn, NY, 11220",4410 4th Ave,Brooklyn,NY,11220,"$194,696.00",9,NO
2021,China Gourmet,"877 8th Avenue, New York, NY, 10019",877 8th Avenue,New York,NY,10019,"$193,500.00",,NO
2024,Vibes Restaurant Bar and Cafe,"143-06 Liberty Avenue, Jamaica, NY, 11435",143-06 Liberty Avenue,Jamaica,NY,11435,"$189,900.00",,NO
2021,Carnival Latin Bistro Corp,"4325-4327 Broadway, New York, NY, 10033",4325-4327 Broadway,New York,NY,10033,"$187,907.00",2,NO
2023,Mex Carroll's Diner,"192 Columbia Street, Brooklyn, NY, 11231",192 Columbia Street,Brooklyn,NY,11231,"$182,507.00",,NO
2021,Paramount Home Care Agency Inc,"161 Kings Highway, Brooklyn, NY, 11223",161 Kings Highway,Brooklyn,NY,11223,"$171,972.00",146,NO
2020,Evelia's Tamales,"33-28 104th Street, Corona, NY, 11368",33-28 104th Street,Corona,NY,11368,"$171,880.00",,NO
2023,Foodirect Inc,"355 Food Center Drive, Bronx, NY, 10474",355 Food Center Drive,Bronx,NY,10474,"$170,225.00",,NO
2024,Bagel Market,"264 West 40th Street, New York, NY, 10018",264 West 40th Street,New York,NY,10018,"$169,415.00",,NO
2022,Pil Pil,"265 E 78th Street, New York, NY, 10075",265 E 78th Street,New York,NY,10075,"$169,340.00",1,NO
2022,Xincon Home Healthcare Services,"20 West 33rd Street, New York, NY, 10001",20 West 33rd Street,New York,NY,10001,"$169,255.00",,NO
2022,Thermo Hydronic Corporation,"141-40 224th Street, Laurelton, NY, 11413",141-40 224th Street,Laurelton,NY,11413,"$167,759.00",,NO
2024,Bravo Supermarket,"3008 Fulton Street, Brooklyn, NY, 11208",3008 Fulton Street,Brooklyn,NY,11208,"$166,589.00",,NO
2022,House Calls Home Care,"2440 Fulton Street, Brooklyn, NY, 11233",2440 Fulton Street,Brooklyn,NY,11233,"$166,437.00",3,NO
2023,E 166 Associates LLC,"199 Lee Avenue, Brooklyn, NY, 11211",199 Lee Avenue,Brooklyn,NY,11211,"$162,555.00",,NO
2020,Valana Contracting Corporation,"2114 Clove Road, Staten Island, NY, 10305",2114 Clove Road,Staten Island,NY,10305,"$162,513.00",2,NO
2020,Fine Nails,"155-25 Jamaica Avenue, Jamaica, NY, 11432",155-25 Jamaica Avenue,Jamaica,NY,11432,"$161,722.00",,NO
2023,Salam Deli and Grill Corp,"597 Flatbush Ave, Brooklyn, NY, 11225",597 Flatbush Ave,Brooklyn,NY,11225,"$161,700.00",1,NO
2024,Elite Nails and Spa,"243 Willis Ave., Bronx, NY, 10454",243 Willis Ave.,Bronx,NY,10454,"$159,605.00",,NO
2023,MP ELECTRIC GROUP CORP.,"71-01 72nd Pl, Queens, NY, 11385",71-01 72nd Pl,Queens,NY,11385,"$157,718.00",,NO
2022,El Pollo Inka Peru,"89-12 Northern Blvd, Jackson Heights, NY, 11372",89-12 Northern Blvd,Jackson Heights,NY,11372,"$153,165.00",,NO
2022,"Summit Home Health Care, Inc.","1797 Coney Island Avenue, Brooklyn, NY, 11230",1797 Coney Island Avenue,Brooklyn,NY,11230,"$152,951.00",3,NO
2023,Land & Shore Construction,"41 Moultrie Street, Brooklyn, NY, 11222",41 Moultrie Street,Brooklyn,NY,11222,"$152,011.00",,NO
2023,Jalisha Hair Style Inc,"724 East 233rd Street, Bronx, NY, 10466",724 East 233rd Street,Bronx,NY,10466,"$149,275.00",,NO
2021,White Sails Fish Market,"748 Lydig Avenue, Bronx, NY, 10462",748 Lydig Avenue,Bronx,NY,10462,"$147,640.00",4,NO
2022,ADJ Wisdom Home Care Wengs Group NY Inc,"250 Grand Street, New York, NY, 10013",250 Grand Street,New York,NY,10013,"$144,333.00",20,NO
2022,Dependable Care LLC,"1122 Coney Island Ave, Brooklyn, NY, 11230",1122 Coney Island Ave,Brooklyn,NY,11230,"$141,875.00",,NO
2021,Greek Islands,"253-17 Northern Blvd., Little Neck, NY, 11362",253-17 Northern Blvd.,Little Neck,NY,11362,"$141,078.00",,NO
2022,2027,"2027 Emmons Avenue, Brooklyn, NY, 11235",2027 Emmons Avenue,Brooklyn,NY,11235,"$139,459.00",2,NO
2021,Kum Gang San,"138-28 Northern Blvd, Flushing, NY, 11354",138-28 Northern Blvd,Flushing,NY,11354,"$137,747.00",1,NO
2021,Vidalis Pizza,"31-06 21st Street, Astoria, NY, 11106",31-06 21st Street,Astoria,NY,11106,"$137,743.00",2,NO
2022,LH Wellbeing Care Inc,"53 Elizabeth Street, New York, NY, 10013",53 Elizabeth Street,New York,NY,10013,"$136,699.00",6,NO
2022,MGM Laundromat,"4012 Bronxwood Ave., Bronx, NY, 10466",4012 Bronxwood Ave.,Bronx,NY,10466,"$135,253.00",1,NO
2023,Modern National Furniture Inc.,"42-07 National Street, Corona, NY, 11368",42-07 National Street,Corona,NY,11368,"$134,850.00",,NO
2021,Taste of Italy Restaurant & Pizzeria NYC,"40-05 Junction Blvd., Elmhurst, NY, 11373",40-05 Junction Blvd.,Elmhurst,NY,11373,"$132,125.00",,NO
2021,New Tasty Hand-Pulled Noodles Inc.,"One Doyers Street, New York, NY, 10013",One Doyers Street,New York,NY,10013,"$130,096.00",2,NO
2024,Locanut Restaurant,"361 West 17th Street, New York, NY, 10011",361 West 17th Street,New York,NY,10011,"$129,425.00",,NO
2020,Regine 125 Inc aka Regines Fashion,"589 E 138th St, Bronx, NY, 10454",589 E 138th St,Bronx,NY,10454,"$129,047.00",16,NO
2021,Victory Sweet Shop,"21-69 Steinway Street, Astoria, NY, 11105",21-69 Steinway Street,Astoria,NY,11105,"$127,847.00",,NO
2023,Western Beef Supermarket,"431 West 16th Street, New York, NY, 10011",431 West 16th Street,New York,NY,10011,"$124,614.00",,NO
2021,Jimmy's Rims and Tires,"4314 3rd Avenue, Brooklyn, NY, 11232",4314 3rd Avenue,Brooklyn,NY,11232,"$124,134.00",,NO
2020,New Heights Security LLC,"591 Quincy Street, Brooklyn, NY, 11221",591 Quincy Street,Brooklyn,NY,11221,"$123,519.00",1,NO
2024,Jennie's Kitchen,"648 39th Street, Brooklyn, NY, 11232",648 39th Street,Brooklyn,NY,11232,"$123,471.00",,NO
2022,Ama Grill & Deli,"1709 Church Avenue, Brooklyn, NY, 11226",1709 Church Avenue,Brooklyn,NY,11226,"$123,046.00",,NO
